release_year,author_name,book_shortener,book_title,poem_title,excerpt,file_name,link_url,low_res_file_name,low_res_link_url,folder_link,file_type,file_type_helper,book_release_catalog,graphic_made_status,approved_for_quote_image,used_status,notes,alternate_filename,source_row_number,source_row_numbers,excerpt_id,excerpt_ids,source_row_count,release_year_values,any_graphic_made_status_y,any_approved_for_quote_image_y,missing_core_fields,asset_key
2015,Neil Hilborn,OND,,Liminality,"“Heaven is an exhausted horse laying down to die, it’s you and your ceiling fan conversing in whispers”",TFLE - INT - hi-03.jpg,https://drive.google.com/file/d/1kUl2oIUzS2vRHAa7Mph4wbwepv5qtCub/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28106,28106,19915,19915,1,2015,,,book_title,https://drive.google.com/file/d/1kUl2oIUzS2vRHAa7Mph4wbwepv5qtCub/view?usp=drivesdk
2015,Neil Hilborn,OND,,Liminality,“We are astronauts coming back to earth.”,TFLE - INT - hi-05.jpg,https://drive.google.com/file/d/1VJr43gDK6gD4fDZLnygsaNlHp5LdIMF4/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28105,28105,19913,19913,1,2015,,,book_title,https://drive.google.com/file/d/1VJr43gDK6gD4fDZLnygsaNlHp5LdIMF4/view?usp=drivesdk
2015,Neil Hilborn,OND,,Little Poems,"“Once it snowed, and it wasn’t that I felt great, because I felt awful, but awful is better than nothing.”",Neil - OND - Quote Image - I Don't Know What.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCUGkyNHQyOVVXLXc/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28118,"28118, 28141",19919,"19919, 19922",2,2015,,,book_title,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCUGkyNHQyOVVXLXc/view?usp=drivesdk
2015,Neil Hilborn,OND,,Our Numbered Days (vii),“Hope is a thing I drag out of storage when I am done thinking.”,Neil - OND - Quote Image - Parallel parking.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCRGQ2YWRheWROc1U/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28511,28511,20102,20102,1,2015,,,book_title,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCRGQ2YWRheWROc1U/view?usp=drivesdk
2015,Neil Hilborn,OND,,Phreaking,"“I have not seen her in so long. To me, she is only a ghost in a machine. She is only a memory, like a broken flashlight or summer.”",Neil - OND - Quote Image - For her.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYjZ0Zm5BY1RyTlE/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28537,"28530, 28537",20133,"20133, 20135",2,2015,,,book_title,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYjZ0Zm5BY1RyTlE/view?usp=drivesdk
2015,Neil Hilborn,OND,,Phreaking,"“When she calls me, her laugh crackling over the Midwest, I feel farther from her than when we are not speaking. I reach and touch nothing. I hear phone lines in the wind nothing. I hear phone lines in the wind they are calling my name.”",Neil - OND - Quote Image - There are no words.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYjBud2ZaUlZ1c1k/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28535,"28526, 28535",20136,"20133, 20136",2,2015,,,book_title,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYjBud2ZaUlZ1c1k/view?usp=drivesdk
2015,Neil Hilborn,OND,,The Sadness Factory,"“The Sadness Factory is, no joke, shaped like a heart. Sadness is the corniest of emotions.”","Hilborn - AT - The Vanishing Pharmacopeia (Or, Ballad for an Escape) - 1.png",https://drive.google.com/file/d/1V15yygm2K8fgffZJN6oBBKETe2ll2MyQ/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,28835,28835,20302,20302,1,2015,,,book_title,https://drive.google.com/file/d/1V15yygm2K8fgffZJN6oBBKETe2ll2MyQ/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“See, we are wrong when we say I think, therefore I am. The more we say it, the more it sounds like, “I think, therefore I will be.” You cannot think yourself into a full table. You cannot think and make walls and a roof appear around you. I have thought and thought myself into corners made of words, nightmares, and what has it gotten me but more thoughts, a currency that only buys more currency.”",Neil - OND - Quote Image - I am not saying.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCbGNBaktCWU83UlU/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27946,"27941, 27946",19823,"19821, 19823",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCbGNBaktCWU83UlU/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“if you want to continue existing, do something. Learn to make clouds with only your breath. Build a house, even if every wall leans to the left. Love it anyway, just like a season. Just like a child. Love how you hate yourself sometimes, because goddamn, at least there’s still something to hate.”",Neil - OND - Quote Image - I've been burned.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCQ3FXbkZ6ek9pX1E/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27947,"27937, 27947",19810,"19810, 19817",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCQ3FXbkZ6ek9pX1E/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“Whatever you are feeling right now, there is a mathematical certainty that someone is feeling that exact thing. This is not to say you aren’t special. This is to say thank god you aren’t special.”",Neil - OND - Quote Image - If you want.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCR21FdzFuQmkxaFE/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27943,"27943, 27948",19819,"19809, 19819",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCR21FdzFuQmkxaFE/view?usp=drivesdk
